id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004088/sample/5378691/observation/0061,NW-88004088,RIVER COCKER AT COCKER BRIDGE,345230,451252,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-01-29T10:40:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.17,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004088/sample/5379685/observation/0061,NW-88004088,RIVER COCKER AT COCKER BRIDGE,345230,451252,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-02-21T12:03:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.42,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88004088/sample/5381033/observation/0061,NW-88004088,RIVER COCKER AT COCKER BRIDGE,345230,451252,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,FRESHWATER - RIVERS,2025-03-13T09:05:00,MONITORING  (NATIONAL AGENCY POLICY),RIVER / RUNNING SURFACE WATER,61,pH,7.65,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88008842/sample/5379138/observation/0061,NW-88008842,CATSHAW HALL FARM BH                    SD55/1,354690,453540,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - BOREHOLE,2025-02-11T08:47:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.1,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88008842/sample/5390045/observation/0061,NW-88008842,CATSHAW HALL FARM BH                    SD55/1,354690,453540,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - BOREHOLE,2025-08-12T10:50:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.2,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88008843/sample/5379139/observation/0061,NW-88008843,LOW MOOR HEAD FARM                 WRB NO  SD55/2,354120,456160,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - BOREHOLE,2025-02-11T09:30:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.2,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88008843/sample/5389804/observation/0061,NW-88008843,LOW MOOR HEAD FARM                 WRB NO  SD55/2,354120,456160,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,GROUNDWATER - BOREHOLE,2025-08-06T11:25:00,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),GROUNDWATER,61,pH,7.2,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020097/sample/5376930/observation/0061,NW-88020097,"BANK HOUSE FISH FARM SETTLEMENT POND EFFLUENT TO MILL RACE, BANK HOUSE FLY FISHERY, LOW MILL LANE, CATON, LANCS",352770,464870,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-01-15T14:04:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,61,pH,7.52,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020097/sample/5380812/observation/0061,NW-88020097,"BANK HOUSE FISH FARM SETTLEMENT POND EFFLUENT TO MILL RACE, BANK HOUSE FLY FISHERY, LOW MILL LANE, CATON, LANCS",352770,464870,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-03-07T08:44:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,61,pH,7.94,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/NW-88020097/sample/5390200/observation/0061,NW-88020097,"BANK HOUSE FISH FARM SETTLEMENT POND EFFLUENT TO MILL RACE, BANK HOUSE FLY FISHERY, LOW MILL LANE, CATON, LANCS",352770,464870,NorthWest,NORTH WEST - CUMBRIA AND LANCASHIRE,MORECAMBE BAY,OPEN,AGRICULTURE - FISH FARMING - NOT WATER COMPANY,2025-08-15T11:31:00,COMPLIANCE AUDIT (PERMIT),ANY TRADE EFFLUENT,61,pH,7.8,PH UNITS
